     133.00       6.53       2.00       1.00       2.00       1.00       1.00       5.00       4.00       3.50       3.60       1.00       2.00      -1.40
     133.00        .         3.00       1.00       2.00       1.00       1.00       5.00       4.00       3.50       3.60       1.00       2.00        .  
     133.00       7.61       4.00       1.00       2.00       1.00       1.00       5.00       4.00       3.50       3.60       1.00       2.00       0.40
     133.00       9.56       5.00       1.00       2.00       1.00       1.00       5.00       4.00       3.50       3.60       1.00       2.00       0.99
     133.00      11.52       6.00       1.00       2.00       1.00       1.00       5.00       4.00       3.50       3.60       1.00       2.00       0.99
     133.00      14.45       7.00       1.00       2.00       1.00       1.00       5.00       4.00       3.50       3.60       1.00       2.00       1.20
     183.00       5.41       1.00       0.00       2.00       1.00       1.00       8.00       5.00       3.25       3.00       1.80       2.25      -0.20
     183.00       5.92       2.00       0.00       2.00       1.00       1.00       8.00       5.00       3.25       3.00       1.80       2.25       0.24
     183.00        .         3.00       0.00       2.00       1.00       1.00       8.00       5.00       3.25       3.00       1.80       2.25        .  
     183.00       6.91       4.00       0.00       2.00       1.00       1.00       8.00       5.00       3.25       3.00       1.80       2.25       0.97
     183.00       8.88       5.00       0.00       2.00       1.00       1.00       8.00       5.00       3.25       3.00       1.80       2.25       1.93
     183.00      10.85       6.00       0.00       2.00       1.00       1.00       8.00       5.00       3.25       3.00       1.80       2.25       1.88
     183.00      13.79       7.00       0.00       2.00       1.00       1.00       8.00       5.00       3.25       3.00       1.80       2.25       1.93
     232.00       5.87       1.00       1.00       2.00       1.00       1.00       4.00       8.00       3.75       3.80       2.20       1.00      -1.22
     232.00       6.39       2.00       1.00       2.00       1.00       1.00       4.00       8.00       3.75       3.80       2.20       1.00      -0.80
     232.00        .         3.00       1.00       2.00       1.00       1.00       4.00       8.00       3.75       3.80       2.20       1.00        .  
     232.00       7.40       4.00       1.00       2.00       1.00       1.00       4.00       8.00       3.75       3.80       2.20       1.00       0.61
     232.00       9.23       5.00       1.00       2.00       1.00       1.00       4.00       8.00       3.75       3.80       2.20       1.00       1.41
     232.00      11.36       6.00       1.00       2.00       1.00       1.00       4.00       8.00       3.75       3.80       2.20       1.00       1.24
     232.00      14.25       7.00       1.00       2.00       1.00       1.00       4.00       8.00       3.75       3.80       2.20       1.00       1.55
     264.00       5.62       1.00       0.00       2.00       1.00       1.00       4.00       6.00       3.25       3.20       1.00       2.00      -1.12
     264.00       6.14       2.00       0.00       2.00       1.00       1.00       4.00       6.00       3.25       3.20       1.00       2.00      -0.21
     264.00       6.57       3.00       0.00       2.00       1.00       1.00       4.00       6.00       3.25       3.20       1.00       2.00      -0.24
     264.00       7.12       4.00       0.00       2.00       1.00       1.00       4.00       6.00       3.25       3.20       1.00       2.00       0.38
     264.00       9.06       5.00       0.00       2.00       1.00       1.00       4.00       6.00       3.25       3.20       1.00       2.00       1.38
     264.00      11.05       6.00       0.00       2.00       1.00       1.00       4.00       6.00       3.25       3.20       1.00       2.00       1.25
     264.00      14.13       7.00       0.00       2.00       1.00       1.00       4.00       6.00       3.25       3.20       1.00       2.00       0.87
